component,subcomponent,owner,customer_impact,data_classification,exposure,description,control_scope
web,trading-dashboard,frontend-team,mission_critical,financial,internet,"Real-time stock trading interface with portfolio management","SOC2,ISO27001,SEC,FINRA"
api,order-execution-engine,trading-team,mission_critical,financial,partner,"High-frequency trading order execution and routing to exchanges","SOC2,ISO27001,SEC,FINRA"
api,market-data-service,data-team,mission_critical,financial,internet,"Real-time market data aggregation from NYSE NASDAQ and crypto exchanges","SOC2,ISO27001"
api,portfolio-service,portfolio-team,mission_critical,financial,internet,"Portfolio valuation risk analytics and P&L calculation","SOC2,ISO27001,SEC"
api,kyc-verification-service,compliance-team,mission_critical,pii,partner,"Know Your Customer identity verification via Plaid and Jumio","SOC2,ISO27001,AML,KYC"
db,accounts-db,platform-team,mission_critical,pii,internal,"PostgreSQL storing customer accounts SSN tax IDs and bank details","SOC2,ISO27001,PCI,AML"
db,transactions-db,platform-team,mission_critical,financial,internal,"Time-series database for trade history and transaction records","SOC2,ISO27001,SEC"
db,ledger-db,platform-team,mission_critical,financial,internal,"Double-entry accounting ledger for regulatory compliance","SOC2,ISO27001,SEC,FINRA"
esb,payment-processor,payments-team,mission_critical,financial,partner,"ACH and wire transfer processing via Stripe and Plaid","PCI,SOC2,ISO27001"
esb,blockchain-gateway,crypto-team,external,financial,partner,"Cryptocurrency wallet integration Ethereum Bitcoin Solana","SOC2,ISO27001"
integration,sec-filing-api,compliance-team,external,financial,partner,"Automated SEC filing submission and FINRA reporting","SEC,FINRA,SOC2"
integration,fraud-detection-ml,security-team,mission_critical,pii,internal,"Real-time fraud detection using ML models on transaction patterns","SOC2,ISO27001,AML"
streaming,kafka-cluster,platform-team,mission_critical,financial,internal,"Event streaming for order flow and market data distribution","SOC2,ISO27001"
cache,redis-cluster,platform-team,external,financial,internal,"In-memory cache for market quotes and session management","SOC2,ISO27001"
